Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
CANT1	calcium activated nucleotidase 1	124583	17:78991717-79009817	1		17q25.3	yes		prostate			E	Dom	fusion	T	ETV4			"CCDS11760.1,ENSG00000171302.16,NM_138793.3,NP_001153245,NP_620148,Q8WVQ1,SCAN-1,SHAPY"
CARD11	"caspase recruitment domain family, member 11"	84433	7:2906141-3043945	1	Yes	7p22.2	yes		DLBCL			L	Dom	oncogene	Mis				"BIMP3,CARMA1,CCDS5336.2,ENSG00000198286.9,NM_032415.5,NP_001311210,NP_115791,Q9BXL7"
CARS	cysteinyl-tRNA synthetase	833	11:3000922-3057437	1	Yes	11p15.4	yes		ALCL			L	Dom	"TSG, fusion"	T	ALK			"CARS1,CCDS41600.1,ENSG00000110619.17,NM_001194997.1,NP_001014437,NP_001181926.1,P49589"
CASP3	caspase 3	836	4:184627696-184649475	2		4q35.1	yes		ovarian cancer			E		TSG	D				"CCDS3836.1,CPP32,CPP32B,ENSG00000164305.18,NM_004346.3,NP_004337,NP_001341709.1,NP_001341707.1,NP_001341706.1,P42574,Yama,apopain"
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	841	2:201258036-201287711	1	Yes	2q33.1	yes		"hepatocellular, oral squamous cell, breast"			E	Rec	TSG	"N, S, F"				"CCDS42798.1,Casp-8,ENSG00000064012.21,FLICE,MACH,MCH5,NM_001080125.1,NP_001073594,Q14790"
CASP9	caspase 9	842	1:15492270-15524295	2		1p36.21	yes		glioma			O		TSG	D				"APAF-3,CCDS158.1,ENSG00000132906.17,ICE-LAP6,MCH6,NM_001229.4,NP_001220,P55211,PPP1R56"
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	863	16:88874858-88977204	1	Yes	16q24.3	yes		AML			L	Dom	"TSG, fusion"	T	"RUNX1, GLIS2"			"CCDS10972.1,ENSG00000129993.14,ETO2,MTG16,MTGR2,NM_005187.5,NP_005178,O75081,RUNX1T3,ZMYND4"
CBFB	"core-binding factor, beta subunit"	865	16:67029245-67101022	1	Yes	16q22.1	yes		AML			L	Dom	"TSG, fusion"	T	MYH11			"CCDS45508.1,ENSG00000067955.13,NM_022845.2,NP_074036,PEBP2B,Q13951"
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867	11:119206276-119308149	1	Yes	11q23.3	yes		"AML, JMML, MDS"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, S, O"	KMT2A			"CBL2,CCDS8418.1,ENSG00000110395.6,NM_005188.3,NP_005179,P22681,RNF55,c-Cbl"
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3:105655461-105869043	1	Yes	3q13.11	yes		AML			L	Rec	TSG	"Mis, S"				"CCDS2948.1,Cbl-b,ENSG00000114423.19,NM_170662.4,NP_001308717,NP_733762,NP_001308745.1,NP_001308736.1,NP_001308723.1,NP_001308749.1,NP_001308720.1,NP_001308740.1,NP_001308728.1,NP_001308727.1,NP_001308735.1,NP_001308726.1,NP_001308722.1,NP_001308724.1,NP_001308751.1,NP_001308725.1,NP_001308737.1,Q13191,RNF56"
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	23624	19:44777869-44800634	2		19q13.32	yes		"cervical SCC, malignant melanoma"			"E, O"			"A, Mis, N"				"CBL-3,CBL-SL,CCDS12643.1,ENSG00000142273.11,NM_012116.3,NP_036248,Q9ULV8,RNF57"
CCDC6	coiled-coil domain containing 6	8030	10:59788763-59906656	1	Yes	10q21.2	yes		"papillary thyroid, CML, NSCLC"			E	Dom	"TSG, fusion"	T	"RET, PDGFRB"			"CCDS7257.1,D10S170,ENSG00000108091.10,H4,NM_005436.4,NP_005427,PTC,Q16204,TPC,TST1"
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	57820	14:20311368-20333312	1	Yes	14q11.2	yes		leiomyoma			M	Dom	"TSG, fusion"	T	HMGA2			"C14orf18,CCDS9547.1,ENSG00000100814.17,HEI10,NM_182852.3,NP_878272,Q9NPC3"
CCNC	cyclin C	892	6:99542380-99568973	2		6q16.2	yes		T-ALL			L		TSG	D				"CCDS34502.1,CycC,ENSG00000112237.12,NM_005190.3,NP_005181,P24863"
CCND1	cyclin D1	595	11:69641087-69654474	1	Yes	11q13.3	yes		"CLL, B-ALL, breast"			"L, E"	Dom	"oncogene, fusion"	T	"IGH, FSTL3"			"BCL1,CCDS8191.1,D11S287E,ENSG00000110092.3,NM_053056.2,NP_444284,P24385,PRAD1,U21B31"
CCND2	cyclin D2	894	12:4273772-4305350	1	Yes	12p13.32	yes		"NHL,CLL"			L	Dom	"oncogene, fusion"	T	IGL			"CCDS8524.1,ENSG00000118971.7,NM_001759.3,NP_001750,P30279"
CCND3	cyclin D3	896	6:41934933-41941848	1		6p21.1	yes		MM			L	Dom	"oncogene, fusion"	T	IGH			"CCDS4863.1,ENSG00000112576.12,NM_001760.4,NP_001751,P30281"
CCNE1	cyclin E1	898	19:29811898-29824308	1	Yes	19q12	yes		serous ovarian			E	Dom	oncogene	A				"CCDS12419.1,CCNE,ENSG00000105173.13,NM_001322261.1,NP_001229,NP_001309190.1,NP_001309188.1,P24864"
CCR4	C-C motif chemokine receptor 4	1233	3:32951574-32956349	2		3p22.3	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"CC-CKR-4,CCDS2656.1,CD194,CKR4,CMKBR4,ChemR13,ENSG00000183813.6,NM_005508.4,NP_005499,P51679,k5-5"
CCR7	C-C motif chemokine receptor 7	1236	17:40553769-40565472	2		17q21.2	yes		adult T-cell leukaemia/lymphoma			L		oncogene	N				"BLR2,CCDS11369.1,CD197,CDw197,CMKBR7,EBI1,ENSG00000126353.3,NM_001838.3,NP_001829,P32248"
CD209	CD209 molecule	30835	19:7739994-7747534	2		19p13.2	yes		prostate carcinoma			E			Mis				"CCDS12186.1,CDSIGN,CLEC4L,DC-SIGN,DC-SIGN1,ENSG00000090659.17,NM_021155.3,NP_066978,Q9NNX6"
CD274	CD274 molecule	29126	9:5450525-5470547	1		9p24.1	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	CIITA			"B7-H,B7-H1,B7H1,CCDS6464.1,ENSG00000120217.13,NM_014143.3,NP_054862,PD-L1,PDCD1LG1,PDL1,Q9NZQ7"
CD28	CD28 molecule	940	2:203706548-203738912	2		2q33.2	yes		T-cell lymphoma			L		oncogene	Mis				"CCDS2361.1,ENSG00000178562.17,NM_006139.3,NP_006130,NP_001230006.1,P10747"
CD74	"CD74 molecule, major histocompatibility complex, class II invariant chain"	972	5:150402152-150412751	1		5q33.1	yes		NSCLC			E	Dom	"oncogene, fusion"	T	"ROS1, NRG1"			"CCDS47309.1,DHLAG,ENSG00000019582.14,NM_001025159.2,NP_001020330,P04233"
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	973	19:41877120-41881372	1	Yes	19q13.2	yes		"DLBCL, WM"			L	Dom	oncogene	S		yes	Agammaglobulinaemia	"CCDS12589.1,ENSG00000105369.9,IGA,MB-1,NM_001783.3,NP_001774,P11912"
CD79B	"CD79b molecule, immunoglobulin-associated beta"	974	17:63928740-63932336	1	Yes	17q23.3	yes		"DLBCL, WM"			L	Dom	oncogene	"Mis, S"		yes	Agammaglobulinaemia	"B29,CCDS42372.1,ENSG00000007312.12,IGB,NM_001039933.1,NP_001035022,P40259"
CDC73	cell division cycle 73	79577	1:193122017-193253901	1	Yes	1q31.2	yes	yes	parathyroid adenoma	"parathyroid adenoma, multiple ossifying jaw fibroma"	hyperparathyroidism-jaw tumour syndrome	"E, M"	Rec	TSG	"Mis, N, F"				"C1orf28,CCDS1382.1,ENSG00000134371.11,FIHP,HRPT1,HRPT2,NM_024529.4,NP_078805,Q6P1J9,parafibromin"
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	999	16:68737225-68835548	1	Yes	16q22.1	yes	yes	"lobular breast, gastric"	gastric	familial gastric carcinoma	E	Rec	TSG	"Mis, N, F, S"				"CCDS10869.1,CD324,ENSG00000039068.18,NM_004360.4,NP_004351,P12830,UVO,uvomorulin"
CDH10	cadherin 10	1008	5:24487100-24644978	2		5p14.2	yes	yes	melanoma	pancreatic ductal adenocarcinoma		E		TSG	"Mis, F, N"				"CCDS3892.1,ENSG00000040731.10,NM_006727.4,NP_006718,NP_001304153.1,NP_001304151.1,Q9Y6N8"
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	1009	16:64943753-65122198	1	Yes	16q21	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"CAD11,CCDS10803.1,ENSG00000140937.13,NM_001797.3,NP_001788,OB,P55287"
CDH17	cadherin 17	1015	8:94127171-94208587	2		8q22.1	yes		melanoma			E		oncogene	Mis				"CCDS6260.1,ENSG00000079112.9,HPT-1,NM_004063.3,NP_004054,Q12864,cadherin"
CDK12	cyclin-dependent kinase 12	51755	17:39462039-39535146	1	Yes	17q12	yes		serous ovarian			E	Rec	TSG	"Mis, N, F"				"CCDS11337.1,CRK7,CRKR,CRKRS,ENSG00000167258.13,KIAA0904,NM_016507.3,NP_057591,Q9NYV4"
CDK4	cyclin-dependent kinase 4	1019	12:57747727-57752521	1	Yes	12q14.1		yes		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis				"CCDS8953.1,ENSG00000135446.16,NM_000075.3,NP_000066,P11802,PSK-J3"
CDK6	cyclin-dependent kinase 6	1021	7:92604921-92833917	1	Yes	7q21.2	yes		ALL			L	Dom	"oncogene, fusion"	T	MLLT10			"CCDS5628.1,ENSG00000105810.9,NM_001259.6,NP_001250,PLSTIRE,Q00534"
CDKN1A	cyclin dependent kinase inhibitor 1A	1026	6:36678710-36687337	2		6p21.2	yes		bladder cancer			E		"oncogene, TSG"	"F, N"				"CAP20,CCDS4824.1,CDKN1,CIP1,ENSG00000124762.13,NM_001220778.1,NP_001207707,P21,P38936,SDI1,WAF1,p21,p21CIP1,p21Cip1/Waf1"
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	1027	12:12717124-12722371	1	Yes	12p13.1	yes	yes	"breast, small intestine neuroendocrine tumours"	"pituitary, parathyroid"	multiple endocrine neoplasia type IV	E	Rec	TSG	F				"CCDS8653.1,ENSG00000111276.10,KIP1,NM_004064.4,NP_004055,P27KIP1,P46527"
CDKN2A	cyclin-dependent kinase inhibitor 2A (p16(INK4a)) gene	1029	9:21968056-21974866	1	Yes	9p21.3	yes	yes	"melanoma, multiple other tumour types"	"melanoma, pancreatic"	familial malignant melanoma	"L, E, M, O"	Rec	TSG	"D, Mis, N, F, S"				"ARF,CCDS56565.1,CDK4I,CDKN2,CMM2,ENSG00000147889.17,INK4,INK4a,MLM,MTS1,NP_001182061.1,P42771,p14,p14ARF,p16,p16INK4a,p19,p19Arf"
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1031	1:50960745-50974633	1	Yes	1p32.3	yes		"glioma, MM"			"O, L"	Rec	TSG	D				"CCDS555.1,ENSG00000123080.10,INK4C,P42773,p18"
CDX2	caudal type homeo box transcription factor 2	1045	13:27962137-27971139	1		13q12.2	yes		AML			L	Dom	"TSG, fusion"	T	ETV6			"CCDS9328.1,CDX3,ENSG00000165556.9,NM_001265.4,NP_001256,NP_001256.3,Q99626"
CEBPA	"CCAAT/enhancer binding protein (C/EBP), alpha"	1050	19:33299934-33302564	1	Yes	19q13.11	yes		"AML, MDS"			L	Dom	TSG	"Mis, N, F"				"C/EBP-alpha,CCDS54243.1,CEBP,ENSG00000245848.2,NM_004364.4,NP_004355,NP_001272758.1,NP_001274364.1,NP_001274353.1,P49715"
CEP89	centrosomal protein 89kDa	84902	19:32875925-32971963	2		19q13.11	yes		Spitzoid tumour			E	Dom	fusion	T	BRAF			"CCDC123,CCDS32987.1,ENSG00000121289.17,FLJ14640,NM_032816.4,NP_116205,Q96ST8"
CHCHD7	coiled-coil-helix-coiled-coil-helix domain containing 7	79145	8:56211756-56218615	1		8q12.1	yes		salivary adenoma			E	Dom	fusion	T	PLAG1			"CCDS34895.1,COX23,ENSG00000170791.17,MGC2217,NM_001011668.2,NP_001011668,Q9BUK0"
CHD2	chromodomain helicase DNA binding protein 2	1106	15:92900320-93028005	2		15q26.1	yes		"melanoma, large intestine, CLL, monoclonal B lymphocytosis"			"E, L"		TSG	"Mis, F, N"				"CCDS10374.2,DKFZp547I1315,DKFZp686E01200,DKFZp781D1727,ENSG00000173575.20,FLJ38614,NM_001271.3,NP_001262,O14647"
CHD4	chromodomain helicase DNA binding protein 4	1108	12:6570088-6607476	1	Yes	12p13.31	yes		uterine serous carcinoma			E	Dom	oncogene	"Mis, F, N"				"CCDS8552.1,ENSG00000111642.15,Mi-2b,Mi2-BETA,NM_001273.3,NP_001264"
CHEK2	CHK2 checkpoint homolog (S. pombe)	11200	22:28687763-28741838	1	Yes	22q12.1		yes		breast	familial breast cancer	E	Rec	TSG	F				"CCDS33629.1,CDS1,CHK2,ENSG00000183765.20,HuCds1,NM_001005735.1,NP_001005735,O96017,PP1425,RAD53,bA444G7"
CHIC2	cysteine-rich hydrophobic domain 2	26511	4:54009789-54064690	2		4q12	yes		AML			L	Dom	fusion	T	ETV6			"BTL,CCDS3493.1,ENSG00000109220.10,NM_012110.3,NP_036242,Q9UKJ5"
CHST11	carbohydrate sulfotransferase 11	50515	12:104456973-104762014	2		12q23.3	yes		B-CLL			L		"oncogene, fusion"	T				"C4ST,C4ST1,C4St-1,CCDS9099.1,ENSG00000171310.10,HSA269537,NM_018413.5,NP_060883,Q9NPF2"
CIC	capicua homolog	23152	19:42284665-42295797	1	Yes	19q13.2	yes		"oligodendroglioma, soft tissue sarcoma"			"O, M"	Rec	"oncogene, TSG, fusion"	"Mis, F, S,T"	"DUX4L1, FOXO4"			"CCDS12601.1,ENSG00000079432.7,KIAA0306,NM_015125.4,NP_055940,Q96RK0"
CIITA	"class II, major histocompatibility complex, transactivator"	4261	16:10877198-10924983	1	Yes	16p13.13	yes		"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	"C15orf55, CD274, PDCD1LG2, RALGDS, RUNDC2A, RMI2, BCL6"			"C2TA,CCDS73826.1,ENSG00000179583.19,MHC2TA,NLRA,NM_001286402.1,NP_001273331"
CLIP1	CAP-GLY domain containing linker protein 1	6249	12:122271434-122422569	1		12q24.31	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1			"CCDS58285.1,CLIP,CLIP-170,CLIP170,CYLN1,ENSG00000130779.19,NM_001247997.1,NP_001234926,P30622,RSN"
CLP1	cleavage and polyadenylation factor I subunit 1	10978	11:57657158-57661868	2		11q12.1	yes		AML			L	Dom	fusion	T	KMT2A			"CCDS7964.1,ENSG00000172409.5,HEAB,Q92989,hClp1"
CLTC	"clathrin, heavy polypeptide (Hc)"	1213	17:59619689-59696956	1	Yes	17q23.1	yes		"ALCL, renal"			L	Dom	"TSG, fusion"	T	"ALK, TFE3"			"CCDS74115.1,CLTCL2,ENSG00000141367.11,Hc,NM_001288653.1,NP_001275582"
CLTCL1	"clathrin, heavy polypeptide-like 1"	8218	22:19179473-19291714	1	Yes	22q11.21	yes		ALCL			L	Dom	"TSG, fusion"	T	?			"CCDS46662.2,CHC22,CLH22,CLTCL,CLTD,ENSG00000070371.15,NM_007098.3,NP_009029,P53675"
CNBD1	cyclic nucleotide binding domain containing 1	168975	8:86866445-87382859	2		8q21.3	yes		"gastric cancer, colon cancer"			E			Mis				"CCDS55259.1,ENSG00000176571.11,FLJ35802,NM_173538.2,NP_775809,Q8NA66"
CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	7555	3:129170102-129183910	1	Yes	3q21.3	yes		aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	USP6			"CCDS46906.1,CNBP1,DM2,ENSG00000169714.16,NM_001127192.1,NP_001120664,P62633,RNF163,ZCCHC22,ZNF9"
CNOT3	CCR4-NOT transcription complex subunit 3	4849	19:54141396-54155680	1	Yes	19q13.42	yes		T-ALL			L	Rec	TSG	"Mis, N, F"				"CCDS12880.1,ENSG00000088038.18,KIAA0691,LENG2,NOT3,NOT3H,O75175"
CNTNAP2	contactin associated protein like 2	26047	7:146116359-148420998	2		7q36.1	yes		"glioma, melanoma"			"E, O"		TSG	Mis				"CCDS5889.1,Caspr2,ENSG00000174469.20,KIAA0868,NM_014141.5,NP_054860,NRXN4,Q9UHC6"
CNTRL	centriolin	11064	9:121075012-121177608	1		9q33.2	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"CCDS35118.1,CEP1,CEP110,ENSG00000119397.16,Q7Z7A1"
COL1A1	"collagen, type I, alpha 1"	1277	17:50183289-50201632	1		17q21.33	yes		"DFSP, aneurysmal bone cyst"			M	Dom	fusion	T	"PDGFB, USP6"	yes	Osteogenesis imperfecta	"CCDS11561.1,ENSG00000108821.13,NP_000079.2,OI4,P02452"
COL2A1	"collagen, type II, alpha 1"	1280	12:47972965-48004486	1		12q13.11	yes		"chondrosarcoma, enchondroma"			M	Rec	fusion	T	"GMEB1, LINC00513, LOC101927502, PPP1R42, TANC2, TMEM106C"	yes	"Spondyloepiphyseal Dysplasia Congenita, Achondrogenesis Type II, Stickler Syndrome, Type I and others"	"AOM,CCDS41778.1,ENSG00000139219.18,NM_001844.4,NP_001835,P02458,SEDC,STL1"
COL3A1	collagen type III alpha 1 chain	1281	2:188974320-189012746	2		2q32.2	yes		lipoblastoma			E		fusion	T	PLAG1			"CCDS2297.1,EDS4A,ENSG00000168542.14,NM_000090.3,NP_000081,NP_000081.1,P02461"
COX6C	cytochrome c oxidase subunit VIc	1345	8:99877866-99894062	2		8q22.2	yes		uterine leiomyoma			M	Dom	fusion	T	HMGA2			"CCDS6284.1,ENSG00000164919.10,NM_004374.3,NP_004365,P09669"
CPEB3	cytoplasmic polyadenylation element binding protein 3	22849	10:92048642-92243279	2		10q23.32	yes		lung cancer			E		TSG	D				"CCDS31246.1,ENSG00000107864.14,KIAA0940,Q8NE35"
CREB1	cAMP responsive element binding protein 1	1385	2:207529892-207603431	1		2q33.3	yes		"clear cell sarcoma, angiomatoid fibrous histiocytoma"			M	Dom	"oncogene, fusion"	T	EWSR1			"CCDS2375.1,ENSG00000118260.14,NM_134442.4,NP_604391,P16220"
CREB3L1	cAMP responsive element binding protein 3-like 1	90993	11:46277661-46321422	1	Yes	11p11.2	yes		myxofibrosarcoma			M	Dom	"TSG, fusion"	T	FUS			"CCDS53620.1,ENSG00000157613.10,NM_052854.3,NP_443086,OASIS,Q96BA8"
CREB3L2	cAMP responsive element binding protein 3-like 2	64764	7:137874979-138002057	1	Yes	7q33	yes		fibromyxoid sarcoma			M	Dom	"oncogene, fusion"	T	FUS			"BBF2H7,CCDS34760.1,ENSG00000182158.14,NM_194071.3,NP_919047,NP_001305175.1,Q70SY1,TCAG_1951439"
CREBBP	CREB binding protein (CBP)	1387	16:3725054-3880726	1	Yes	16p13.3	yes		"ALL, AML, DLBCL, B-NHL"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, N, F, Mis, O"	"KMT2A, MORF, KAT6A"	yes	Rubinstein-Taybi syndrome	"CBP,CCDS10509.1,ENSG00000005339.14,KAT3A,NM_004380.2,NP_004371,Q92793,RSTS,RTS"
CRLF2	cytokine receptor-like factor 2	64109	X:1190490-1212750	1		Xp22.33	yes		"B-ALL, Downs associated ALL"			L	Dom	"oncogene, fusion"	"Mis, T"	"P2RY8, IGH"			"CCDS75945.1,CRL2,ENSG00000205755.11,NM_022148.3,NP_071431,Q9HC73,TSLPR"
CRNKL1	crooked neck pre-mRNA splicing factor 1	51340	20:20034368-20056046	2		20p11.23	yes		basal cell carcinoma			E			Mis				"CCDS33446.1,CLF,CRN,Clf1,ENSG00000101343.14,NM_016652.5,NP_057736,Q9BZJ0,SYF3"
CRTC1	CREB regulated transcription coactivator 1	23373	19:18683678-18782333	1	Yes	19p13.11	yes		salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	MAML2			"CCDS42525.1,ENSG00000105662.15,FLJ14027,KIAA0616,MECT1,NM_001098482.1,NP_001091952,Q6UUV9,TORC1"
CRTC3	CREB regulated transcription coactivator 3	64784	15:90530068-90642813	1		15q26.1	yes		salivary gland mucoepidermoid			E	Dom	fusion	T	MAML2			"CCDS32331.1,ENSG00000140577.15,FLJ21868,NM_022769.4,NP_073606,Q6UUV7"
CSF1R	colony stimulating factor 1 receptor	1436	5:150053291-150113372	2		5q32	yes		"MDS, CML, AML, hemangioblastoma, CCRCC"			"L, M, E"		oncogene	"Mis, N"		yes	diffuse leukoencephalopathy with spheroids	"C-FMS,CCDS4302.1,CD115,CSFR,ENSG00000182578.13,FMS,NM_005211.3,NP_001275634,NP_005202,NP_001336665.1,P07333"
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441	1:36466043-36483278	1	Yes	1p34.3	yes		"aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS"			L	Dom	oncogene	"Mis, N"		yes	"Kostmann syndrome, severe congenital neutropenia"	"CCDS414.1,CD114,ENSG00000119535.17,GCSFR,NM_156039.3,NP_724781,Q99062"
CSMD3	CUB and Sushi multiple domains 3	114788	8:112222928-113437099	2		8q23.3	yes		"ovarian cancer, oral SCC, lung cancer"			E		TSG	"Mis, N"				"CCDS6315.1,ENSG00000164796.17,NM_198123.1,NP_937756,Q7Z407"
CTCF	CCCTC-binding factor	10664	16:67562467-67639176	1	Yes	16q22.1	yes		"endometrial, breast, head and neck cancer"			E	Dom	TSG	"Mis, N"			"Mental retardation, autosomal dominant 21"	"CCDS10841.1,ENSG00000102974.15"
CTNNA1	Catenin Alpha 1	1495	5:138753423-138935034	2		5q31.2	yes	yes	"AML, MDS, cutaneous melanoma"	gastric cancer	Hereditary Diffuse Gastric Cancer Syndrome	"E, L"		"TSG, fusion"	"D, Mis, N, T"	RAF1			"CAP102,CCDS34243.1,ENSG00000044115.20,NM_001903.4,NP_001310912,NP_001310911,NP_001894,NP_001310913,NP_001277239.1,NP_001277238.1,NP_001310914.1,NP_001310915.1,P35221"
CTNNA2	catenin alpha 2	1496	2:79651552-80648689	2		2p12	yes		gastric cancer			E		oncogene	"Mis, S"				"CAP-R,CCDS62944.1,CT114,ENSG00000066032.18,NM_001282597.2,NP_001269526,P26232"
CTNNB1	"catenin (cadherin-associated protein), beta 1"	1499	3:41220551-41239888	1	Yes	3p22.1	yes		"colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types"			"E, M, O"	Dom	"oncogene, fusion"	"Mis, O, T"	PLAG1			"CCDS2694.1,CTNNB,ENSG00000168036.17,armadillo,beta-catenin"
CTNND1	catenin delta 1	1500	11:57761797-57819178	2		11q12.1	yes		large intestine carcinoma			E			N				"CCDS44604.1,CTNND,ENSG00000198561.13,KIAA0384,NM_001085458.1,NP_001078927,O60716,p120,p120cas,p120ctn"
CTNND2	catenin delta 2	1501	5:10971840-11904043	2		5p15.2	yes		"prostae adenocarcinoma, GIST"			E		oncogene	Mis				"CCDS3881.1,ENSG00000169862.18,GT24,NM_001332.3,NPRAP,NP_001323,Q9UQB3"
CUL3	cullin 3	8452	2:224470150-224585348	2		2q36.2	yes		lung cancer			E		TSG	N				"CCDS2462.1,ENSG00000036257.12,NM_003590.4,NP_003581,Q13618"
CUX1	cut-like homeobox 1	1523	7:101816011-102258233	1	Yes	7q22.1	yes		"endometrial, melanoma, colorectal, AML, MDS, other tumour types"			"E,L,M,O"	Dom	"oncogene, TSG"	"N,F,S,Mis,O,T"	CLDN7			"CASP,CCDS56498.1,CDP,CDP/Cut,CDP/Cux,CDP1,CUT,CUTL1,CUX,Clox,Cux/CDP,ENSG00000257923.10,GOLIM6,NM_001202543.1,NP_001189472,P39880"
CXCR4	C-X-C motif chemokine receptor 4	7852	2:136114349-136116243	1	Yes	2q22.1	yes	yes	WM			L	Dom	oncogene	"Mis, N, F"				"CCDS33295.1,CD184,D2S201E,ENSG00000121966.6,HM89,HSY3RR,LESTR,NM_001008540.1,NPY3R,NPYR,NPYY3R,NP_001008540,P61073,fusin"
CYLD	familial cylindromatosis gene	1540	16:50742760-50801935	1	Yes	16q12.1	yes	yes	cylindroma	cylindroma	"familial cylindromatosis, familial trichoepithelioma, Brooke-Spiegler syndrome"	E	Rec	TSG	"Mis, N, F, S"				"CCDS45482.1,CYLD1,ENSG00000083799.17,KIAA0849,Q9NQC7,USPL2"
CYP2C8	cytochrome P450 family 2 subfamily C member 8	1558	10:95036773-95069497	2		10q23.33	yes		melanoma			E			Mis				"CCDS7438.1,CPC8,ENSG00000138115.13,NM_000770.3,NP_000761,P10632"
CYSLTR2	cysteinyl leukotriene receptor 2	57105	13:48706555-48711226	2		13q14.2	yes		uveal melanoma			E		oncogene	Mis				"CCDS9412.1,CYSLT2R,CysLT(2),ENSG00000152207.7,NM_001308471.1,NP_001295400,Q9NS75"
DAXX	death-domain associated protein	1616	6:33318558-33323014	1	Yes	6p21.32	yes		"pancreatic neuroendocrine tumour, paediatric glioblastoma"			E	Rec	"oncogene, TSG"	"Mis, F, N"				"CCDS4776.1,DAP6,ENSG00000204209.12,NM_001350.4,NP_001341,NP_001135441,NP_001135442.1,Q9UER7"
DCAF12L2	DDB1 and CUL4 associated factor 12 like 2	340578	X:126163499-126166097	2		Xq25	yes		CRC			E			Mis				"CCDS43991.1,ENSG00000198354.6,NM_001013628.2,NP_001013650,Q5VW00,WDR40C"
DCC	DCC netrin 1 receptor	1630	18:52340172-53535899	2		18q21.2	yes		"CRC, melanoma, SCC"			E			"Mis, N, D"				"CCDS11952.1,ENSG00000187323.11,IGDCC1,NM_005215.3,NP_005206,NTN1R1,P43146"
DCTN1	dynactin 1	1639	2:74361154-74380355	1		2p13.1	yes		"inflammatory myofibroblastic tumour, Spitzoid tumour"			M	Dom	fusion	T	"ALK, ROS1"	yes	"Distal hereditary motor neuronopathy, susceptibility to amyotrophic lateral sclerosis, Perry syndrome"	"CCDS1939.1,ENSG00000204843.12,NM_004082.4,NP_004073,Q14203"
DDB2	damage-specific DNA binding protein 2	1643	11:47214942-47239240	1	Yes	11p11.2		yes		"skin basal cell, skin squamous cell, melanoma"	xeroderma pigmentosum (E)	E	Rec	"oncogene, TSG"	"Mis, N"				"CCDS7927.1,DDBB,ENSG00000134574.11,FLJ34321,NM_000107.2,NP_000098,Q92466,UV-DDB2,XPE"
DDIT3	DNA-damage-inducible transcript 3	1649	12:57516589-57520517	1	Yes	12q13.3	yes		liposarcoma			M	Dom	"oncogene, fusion"	T	"FUS, EWSR1"			"CCDS55838.1,CHOP,CHOP10,ENSG00000175197.12,GADD153,NM_001195056.1,NP_001181985,NP_001181983,NP_001181982,NP_001181984,P35638"
DDR2	discoidin domain receptor 2	4921	1:162632465-162787400	1	Yes	1q23.3	yes		"squamous cell carcinoma, NSCLC"			E	Dom	oncogene	"Mis, N"		yes	"Spondylometaepiphyseal dysplasia, short limb-hand type"	"CCDS1241.1,ENSG00000162733.16,NM_001014796.1,NP_001014796,NP_001341912.1,NP_001341911.1,NTRKR3,Q16832,TKT,TYRO10"
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	11:108665025-108940930	1	Yes	11q22.3	yes		AML*			L	Dom	"TSG, fusion"	T	NUP98			"CCDS8342.1,Dbp4,ENSG00000178105.9,HRH-J8,NM_004398.3,NP_004389,Q13206"
